,#genre#
党建频道,http://171.120.203.195:8082/rtp/226.0.2.184:9384
朔州-1,http://171.120.203.195:8082/rtp/226.0.2.185:9392
朔州-2,http://171.120.203.195:8082/rtp/226.0.2.186:9400
东南卫视HD,http://171.120.203.195:8082/rtp/226.0.2.188:9416
孝义电视台,http://171.120.203.195:8082/rtp/226.0.2.189:9424
山西文体生活,http://171.120.203.195:8082/rtp/226.0.2.190:9432
清徐HD,http://171.120.203.195:8082/rtp/226.0.2.191:9440
古交电视台,http://171.120.203.195:8082/rtp/226.0.2.192:9448
上海纪实HD,http://171.120.203.195:8082/rtp/226.0.2.193:9456
金鹰纪实HD,http://171.120.203.195:8082/rtp/226.0.2.194:9464
河南卫视,http://171.120.203.195:8082/rtp/226.0.2.195:9472
阳曲,http://171.120.203.195:8082/rtp/226.0.2.196:9480
九屏测试,http://171.120.203.195:8082/rtp/226.0.2.197:9488
江西卫视,http://171.120.203.195:8082/rtp/226.0.2.198:9496
吉林卫视,http://171.120.203.195:8082/rtp/226.0.2.199:9504
太原1,http://171.120.203.195:8082/rtp/226.0.2.201:9520
太原2,http://171.120.203.195:8082/rtp/226.0.2.202:9528
太原3,http://171.120.203.195:8082/rtp/226.0.2.203:9536
来自山西联通(171.120.203.195:8082)的组播源共有184个频道：
太原4,http://171.120.203.195:8082/rtp/226.0.2.204:9544
太原5,http://171.120.203.195:8082/rtp/226.0.2.205:9552
太原教育,http://171.120.203.195:8082/rtp/226.0.2.206:9560
海南卫视HD,http://171.120.203.195:8082/rtp/226.0.2.212:9608
茶频道HD,http://171.120.203.195:8082/rtp/226.0.2.213:9616
快乐垂钓HD,http://171.120.203.195:8082/rtp/226.0.2.214:9624
太原佰乐购,http://171.120.203.195:8082/rtp/226.0.2.215:9632
CCTV央视台球HD,http://171.120.203.195:8082/rtp/226.0.2.216:9640
CCTV高网HD,http://171.120.203.195:8082/rtp/226.0.2.217:9648
CCTV电视指南HD,http://171.120.203.195:8082/rtp/226.0.2.218:9656
CCTV央视文化精品HD,http://171.120.203.195:8082/rtp/226.0.2.219:9664
CCTV风云音乐HD,http://171.120.203.195:8082/rtp/226.0.2.220:9672
CCTV第一剧场HD,http://171.120.203.195:8082/rtp/226.0.2.221:9680
CCTV世界地理HD,http://171.120.203.195:8082/rtp/226.0.2.222:9688
CCTV兵器科技HD,http://171.120.203.195:8082/rtp/226.0.2.223:9696
CCTV怀旧剧场HD,http://171.120.203.195:8082/rtp/226.0.2.224:9704
CCTV风云足球HD,http://171.120.203.195:8082/rtp/226.0.2.225:9712
CCTV女性时尚HD,http://171.120.203.195:8082/rtp/226.0.2.226:9720
CCTV风云剧场HD,http://171.120.203.195:8082/rtp/226.0.2.227:9728
晋能控股,http://171.120.203.195:8082/rtp/226.0.2.229:9744
来自山西联通(171.120.203.195:8082)的组播源共有184个频道：
央广购物,http://171.120.203.195:8082/rtp/226.0.2.230:9752
广西卫视HD,http://171.120.203.195:8082/rtp/226.0.2.231:9760
大同教育HD,http://171.120.203.195:8082/rtp/226.0.2.232:9772
阳泉-1新闻综合,http://171.120.203.195:8082/rtp/226.0.2.233:9776
阳泉-2科教,http://171.120.203.195:8082/rtp/226.0.2.234:9784
CHC家庭影院,http://171.120.203.195:8082/rtp/226.0.2.240:9820

来自山西联通(171.116.37.168:8082)的组播源共有184个频道：
山西黄河HD,http://171.116.37.168:8082/rtp/226.0.2.235:9792
山西经济与科技HD,http://171.116.37.168:8082/rtp/226.0.2.236:9800
山西影视HD,http://171.116.37.168:8082/rtp/226.0.2.237:9808
山西社会与法治HD,http://171.116.37.168:8082/rtp/226.0.2.238:9816
山西文体生活HD,http://171.116.37.168:8082/rtp/226.0.2.16:8040
山西卫视,http://171.116.37.168:8082/rtp/226.0.2.11:8000
山西黄河,http://171.116.37.168:8082/rtp/226.0.2.12:8008
山西经济与科技,http://171.116.37.168:8082/rtp/226.0.2.13:8016
山西影视,http://171.116.37.168:8082/rtp/226.0.2.14:8024
山西社会与法治,http://171.116.37.168:8082/rtp/226.0.2.15:8032
CCTV1-HD,http://171.116.37.168:8082/rtp/226.0.2.153:9136
CCTV2-HD,http://171.116.37.168:8082/rtp/226.0.2.154:9144
CCTV3-HD,http://171.116.37.168:8082/rtp/226.0.2.208:9576
CCTV4-HD,http://171.116.37.168:8082/rtp/226.0.2.156:9160
CCTV5-HD,http://171.116.37.168:8082/rtp/226.0.2.209:9584
CCTV6-HD,http://171.116.37.168:8082/rtp/226.0.2.210:9592
CCTV7-HD,http://171.116.37.168:8082/rtp/226.0.2.159:9184
CCTV8-HD,http://171.116.37.168:8082/rtp/226.0.2.211:9600
CCTV9-HD,http://171.116.37.168:8082/rtp/226.0.2.161:9200
来自山西联通(171.116.37.168:8082)的组播源共有184个频道：
CCTV10-HD,http://171.116.37.168:8082/rtp/226.0.2.162:9208
CCTV12-HD,http://171.116.37.168:8082/rtp/226.0.2.164:9224
CCTV13-HD,http://171.116.37.168:8082/rtp/226.0.2.165:9232
CCTV14-HD,http://171.116.37.168:8082/rtp/226.0.2.166:9240
CCTV5+-HD,http://171.116.37.168:8082/rtp/226.0.2.168:9256
CCTV16-HD,http://171.116.37.168:8082/rtp/226.0.2.169:9264
CCTV17-HD,http://171.116.37.168:8082/rtp/226.0.2.170:9272
CCTV1,http://171.116.37.168:8082/rtp/226.0.2.16:8040
CCTV1,http://171.116.37.168:8082/rtp/226.0.2.18:8056
CCTV2,http://171.116.37.168:8082/rtp/226.0.2.19:8064
CCTV3,http://171.116.37.168:8082/rtp/226.0.2.20:8072
CCTV4,http://171.116.37.168:8082/rtp/226.0.2.21:8080
CCTV5,http://171.116.37.168:8082/rtp/226.0.2.22:8088
CCTV6,http://171.116.37.168:8082/rtp/226.0.2.23:8096
CCTV7,http://171.116.37.168:8082/rtp/226.0.2.24:8104
CCTV8,http://171.116.37.168:8082/rtp/226.0.2.25:8112
CCTV9,http://171.116.37.168:8082/rtp/226.0.2.26:8120
CCTV10,http://171.116.37.168:8082/rtp/226.0.2.27:8128
CCTV11,http://171.116.37.168:8082/rtp/226.0.2.28:8136
来自山西联通(171.116.37.168:8082)的组播源共有184个频道：
CCTV12,http://171.116.37.168:8082/rtp/226.0.2.29:8144
CCTV13,http://171.116.37.168:8082/rtp/226.0.2.30:8152
CCTV14,http://171.116.37.168:8082/rtp/226.0.2.31:8160
CCTV15,http://171.116.37.168:8082/rtp/226.0.2.32:8168
CCTV17,http://171.116.37.168:8082/rtp/226.0.2.207:9568
湖南卫视HD,http://171.116.37.168:8082/rtp/226.0.2.143:9056
浙江卫视HD,http://171.116.37.168:8082/rtp/226.0.2.144:9064
安徽卫视HD,http://171.116.37.168:8082/rtp/226.0.2.145:9072
广东卫视HD,http://171.116.37.168:8082/rtp/226.0.2.146:9080
深圳卫视HD,http://171.116.37.168:8082/rtp/226.0.2.147:9088
天津卫视HD,http://171.116.37.168:8082/rtp/226.0.2.148:9096
山东卫视HD,http://171.116.37.168:8082/rtp/226.0.2.149:9104
湖北卫视HD,http://171.116.37.168:8082/rtp/226.0.2.150:9112
黑龙江卫视HD,http://171.116.37.168:8082/rtp/226.0.2.151:9120
山西卫视HD,http://171.116.37.168:8082/rtp/226.0.2.152:9128
金鹰卡通HD,http://171.116.37.168:8082/rtp/226.0.2.172:9288
辽宁卫视HD,http://171.116.37.168:8082/rtp/226.0.2.173:9296
重庆卫视HD,http://171.116.37.168:8082/rtp/226.0.2.174:9304
东方卫视HD,http://171.116.37.168:8082/rtp/226.0.2.175:9312
江苏卫视HD,http://171.116.37.168:8082/rtp/226.0.2.176:9320
来自山西联通(171.116.37.168:8082)的组播源共有184个频道：
北京卫视HD,http://171.116.37.168:8082/rtp/226.0.2.177:9328
河北卫视HD,http://171.116.37.168:8082/rtp/226.0.2.178:9336
四川卫视HD,http://171.116.37.168:8082/rtp/226.0.2.179:9344
贵州卫视HD,http://171.116.37.168:8082/rtp/226.0.2.180:9352
湖南卫视,http://171.116.37.168:8082/rtp/226.0.2.33:8176
东方卫视,http://171.116.37.168:8082/rtp/226.0.2.34:8184
辽宁卫视,http://171.116.37.168:8082/rtp/226.0.2.35:8192
浙江卫视,http://171.116.37.168:8082/rtp/226.0.2.36:8200
安徽卫视,http://171.116.37.168:8082/rtp/226.0.2.37:8208
江苏卫视,http://171.116.37.168:8082/rtp/226.0.2.38:8216
北京卫视,http://171.116.37.168:8082/rtp/226.0.2.39:8224
东南卫视,http://171.116.37.168:8082/rtp/226.0.2.40:8232
金鹰卡通,http://171.116.37.168:8082/rtp/226.0.2.41:8240
四川卫视,http://171.116.37.168:8082/rtp/226.0.2.42:8248
贵州卫视,http://171.116.37.168:8082/rtp/226.0.2.43:8256
哈哈炫动,http://171.116.37.168:8082/rtp/226.0.2.44:8264
广东卫视,http://171.116.37.168:8082/rtp/226.0.2.45:8272
广西卫视,http://171.116.37.168:8082/rtp/226.0.2.46:8280
深圳卫视,http://171.116.37.168:8082/rtp/226.0.2.47:8288
黑龙江卫视,http://171.116.37.168:8082/rtp/226.0.2.48:8296
来自山西联通(171.116.37.168:8082)的组播源共有184个频道：
湖北卫视,http://171.116.37.168:8082/rtp/226.0.2.49:8304
重庆卫视,http://171.116.37.168:8082/rtp/226.0.2.50:8312
山东卫视,http://171.116.37.168:8082/rtp/226.0.2.51:8320
河南卫视HD,http://171.116.37.168:8082/rtp/226.0.2.52:8328
陕西卫视,http://171.116.37.168:8082/rtp/226.0.2.53:8336
江西卫视HD,http://171.116.37.168:8082/rtp/226.0.2.54:8344
甘肃卫视,http://171.116.37.168:8082/rtp/226.0.2.55:8352
天津卫视,http://171.116.37.168:8082/rtp/226.0.2.56:8360
卡酷卡通,http://171.116.37.168:8082/rtp/226.0.2.57:8368
吉林卫视HD,http://171.116.37.168:8082/rtp/226.0.2.58:8376
青海卫视,http://171.116.37.168:8082/rtp/226.0.2.59:8384
云南卫视,http://171.116.37.168:8082/rtp/226.0.2.60:8392
海南卫视,http://171.116.37.168:8082/rtp/226.0.2.61:8400
兵团卫视,http://171.116.37.168:8082/rtp/226.0.2.62:8408
内蒙古卫视,http://171.116.37.168:8082/rtp/226.0.2.63:8416
宁夏卫视,http://171.116.37.168:8082/rtp/226.0.2.64:8424
河北卫视,http://171.116.37.168:8082/rtp/226.0.2.65:8432
西藏卫视,http://171.116.37.168:8082/rtp/226.0.2.66:8440
新疆卫视,http://171.116.37.168:8082/rtp/226.0.2.67:8448
CETV1,http://171.116.37.168:8082/rtp/226.0.2.68:8456
来自山西联通(171.116.37.168:8082)的组播源共有184个频道：
CETV2,http://171.116.37.168:8082/rtp/226.0.2.69:8464
CETV4,http://171.116.37.168:8082/rtp/226.0.2.70:8472
证券服务,http://171.116.37.168:8082/rtp/226.0.2.71:8480
中视购物,http://171.116.37.168:8082/rtp/226.0.2.72:8488
新动漫,http://171.116.37.168:8082/rtp/226.0.2.73:8496
东方财经HD,http://171.116.37.168:8082/rtp/226.0.2.76:8520
乐游HD,http://171.116.37.168:8082/rtp/226.0.2.77:8528
游戏风云HD,http://171.116.37.168:8082/rtp/226.0.2.78:8536
都市剧场HD,http://171.116.37.168:8082/rtp/226.0.2.81:8560
法治天地HD,http://171.116.37.168:8082/rtp/226.0.2.83:8576
生活时尚HD,http://171.116.37.168:8082/rtp/226.0.2.84:8584
CHC高清电影,http://171.116.37.168:8082/rtp/226.0.2.93:8004
CHC动作电影,http://171.116.37.168:8082/rtp/226.0.2.94:8012
重庆汽摩,http://171.116.37.168:8082/rtp/226.0.2.95:8672
武术世界HD,http://171.116.37.168:8082/rtp/226.0.2.97:8688
CETV早期教育HD,http://171.116.37.168:8082/rtp/226.0.2.99:8704
书画频道,http://171.116.37.168:8082/rtp/226.0.2.102:8728
中国天气,http://171.116.37.168:8082/rtp/226.0.2.103:8736
文物宝库HD,http://171.116.37.168:8082/rtp/226.0.2.110:8792
环球奇观,http://171.116.37.168:8082/rtp/226.0.2.111:8800
来自山西联通(171.116.37.168:8082)的组播源共有184个频道：
种养新影老故事,http://171.116.37.168:8082/rtp/226.0.2.112:8808
梨园频道HD,http://171.116.37.168:8082/rtp/226.0.2.115:8832
国学频道,http://171.116.37.168:8082/rtp/226.0.2.116:8840
优优宝贝,http://171.116.37.168:8082/rtp/226.0.2.119:8864
生态环境,http://171.116.37.168:8082/rtp/226.0.2.120:8872
先锋乒羽,http://171.116.37.168:8082/rtp/226.0.2.121:8880
聚鲨环球精选,http://171.116.37.168:8082/rtp/226.0.2.122:8888
四海钓鱼,http://171.116.37.168:8082/rtp/226.0.2.123:8896
天下收藏,http://171.116.37.168:8082/rtp/226.0.2.124:8904
好享购物,http://171.116.37.168:8082/rtp/226.0.2.125:8912
家有购物,http://171.116.37.168:8082/rtp/226.0.2.126:8920
环球旅游,http://171.116.37.168:8082/rtp/226.0.2.127:8928
中华特产,http://171.116.37.168:8082/rtp/226.0.2.128:8936
家庭理财,http://171.116.37.168:8082/rtp/226.0.2.129:8944
山东教育,http://171.116.37.168:8082/rtp/226.0.2.130:8952
优购物,http://171.116.37.168:8082/rtp/226.0.2.131:8960
百姓健康,http://171.116.37.168:8082/rtp/226.0.2.132:8968
车迷频道,http://171.116.37.168:8082/rtp/226.0.2.138:9016
财富天下,http://171.116.37.168:8082/rtp/226.0.2.139:9024
CETV1-HD,http://171.116.37.168:8082/rtp/226.0.2.181:9360
来自山西联通(171.116.37.168:8082)的组播源共有184个频道：
金色学堂HD,http://171.116.37.168:8082/rtp/226.0.2.182:9368
动漫秀场HD,http://171.116.37.168:8082/rtp/226.0.2.183:9376
党建频道,http://171.116.37.168:8082/rtp/226.0.2.184:9384
朔州-1,http://171.116.37.168:8082/rtp/226.0.2.185:9392
朔州-2,http://171.116.37.168:8082/rtp/226.0.2.186:9400
东南卫视HD,http://171.116.37.168:8082/rtp/226.0.2.188:9416
孝义电视台,http://171.116.37.168:8082/rtp/226.0.2.189:9424
山西文体生活,http://171.116.37.168:8082/rtp/226.0.2.190:9432
清徐HD,http://171.116.37.168:8082/rtp/226.0.2.191:9440
古交电视台,http://171.116.37.168:8082/rtp/226.0.2.192:9448
上海纪实HD,http://171.116.37.168:8082/rtp/226.0.2.193:9456
金鹰纪实HD,http://171.116.37.168:8082/rtp/226.0.2.194:9464
河南卫视,http://171.116.37.168:8082/rtp/226.0.2.195:9472
阳曲,http://171.116.37.168:8082/rtp/226.0.2.196:9480
九屏测试,http://171.116.37.168:8082/rtp/226.0.2.197:9488
江西卫视,http://171.116.37.168:8082/rtp/226.0.2.198:9496
吉林卫视,http://171.116.37.168:8082/rtp/226.0.2.199:9504
太原1,http://171.116.37.168:8082/rtp/226.0.2.201:9520
太原2,http://171.116.37.168:8082/rtp/226.0.2.202:9528
太原3,http://171.116.37.168:8082/rtp/226.0.2.203:9536
来自山西联通(171.116.37.168:8082)的组播源共有184个频道：
太原4,http://171.116.37.168:8082/rtp/226.0.2.204:9544
太原5,http://171.116.37.168:8082/rtp/226.0.2.205:9552
太原教育,http://171.116.37.168:8082/rtp/226.0.2.206:9560
海南卫视HD,http://171.116.37.168:8082/rtp/226.0.2.212:9608
茶频道HD,http://171.116.37.168:8082/rtp/226.0.2.213:9616
快乐垂钓HD,http://171.116.37.168:8082/rtp/226.0.2.214:9624
太原佰乐购,http://171.116.37.168:8082/rtp/226.0.2.215:9632
CCTV央视台球HD,http://171.116.37.168:8082/rtp/226.0.2.216:9640
CCTV高网HD,http://171.116.37.168:8082/rtp/226.0.2.217:9648
CCTV电视指南HD,http://171.116.37.168:8082/rtp/226.0.2.218:9656
CCTV央视文化精品HD,http://171.116.37.168:8082/rtp/226.0.2.219:9664
CCTV风云音乐HD,http://171.116.37.168:8082/rtp/226.0.2.220:9672
CCTV第一剧场HD,http://171.116.37.168:8082/rtp/226.0.2.221:9680
CCTV世界地理HD,http://171.116.37.168:8082/rtp/226.0.2.222:9688
CCTV兵器科技HD,http://171.116.37.168:8082/rtp/226.0.2.223:9696
CCTV怀旧剧场HD,http://171.116.37.168:8082/rtp/226.0.2.224:9704
CCTV风云足球HD,http://171.116.37.168:8082/rtp/226.0.2.225:9712
CCTV女性时尚HD,http://171.116.37.168:8082/rtp/226.0.2.226:9720
CCTV风云剧场HD,http://171.116.37.168:8082/rtp/226.0.2.227:9728
晋能控股,http://171.116.37.168:8082/rtp/226.0.2.229:9744
来自山西联通(171.116.37.168:8082)的组播源共有184个频道：
央广购物,http://171.116.37.168:8082/rtp/226.0.2.230:9752
广西卫视HD,http://171.116.37.168:8082/rtp/226.0.2.231:9760
大同教育HD,http://171.116.37.168:8082/rtp/226.0.2.232:9772
阳泉-1新闻综合,http://171.116.37.168:8082/rtp/226.0.2.233:9776
阳泉-2科教,http://171.116.37.168:8082/rtp/226.0.2.234:9784
CHC家庭影院,http://171.116.37.168:8082/rtp/226.0.2.240:9820
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
来自广东电信,#genre#
广东卫视高清,http://125.92.103.146:8899/udp/239.77.1.19:5146
广东卫视高清,http://125.92.103.146:8899/udp/239.77.1.152:5146
广东卫视高清,http://125.92.103.146:8899/udp/239.77.0.84:5146
广东卫视超清,http://125.92.103.146:8899/udp/239.77.0.166:5146
广东珠江高清,http://125.92.103.146:8899/udp/239.77.0.1:5146
广东珠江超清,http://125.92.103.146:8899/udp/239.77.0.114:5146
广东新闻高清,http://125.92.103.146:8899/udp/239.77.0.173:5146
广东民生高清,http://125.92.103.146:8899/udp/239.77.0.225:5146
广东体育高清,http://125.92.103.146:8899/udp/239.77.0.112:5146
广东体育超清,http://125.92.103.146:8899/udp/239.77.0.168:5146
经济科教高清,http://125.92.103.146:8899/udp/239.77.0.85:5146
经济科教超清,http://125.92.103.146:8899/udp/239.77.0.167:5146
大湾区卫视高清,http://125.92.103.146:8899/udp/239.77.0.215:5146
广东影视高清,http://125.92.103.146:8899/udp/239.77.0.217:5146
南国都市 4K,http://125.92.103.146:8899/udp/239.253.43.99:5146
广东少儿高清,http://125.92.103.146:8899/udp/239.77.0.250:5146
嘉佳卡通高清,http://125.92.103.146:8899/udp/239.77.0.179:5146
CCTV-1高清,http://125.92.103.146:8899/udp/239.77.1.17:5146
CCTV-1高清,http://125.92.103.146:8899/udp/239.77.1.144:5146
来自广东电信(125.92.103.146:8899)的组播源共有332个频道：
CCTV-1高清,http://125.92.103.146:8899/udp/239.77.0.86:5146
CCTV-1超清,http://125.92.103.146:8899/udp/239.77.0.129:5146
CCTV-2高清,http://125.92.103.146:8899/udp/239.77.1.158:5146
CCTV-2高清,http://125.92.103.146:8899/udp/239.253.43.17:5146
CCTV-2高清测试,http://125.92.103.146:8899/udp/239.77.0.137:5146
CCTV-3高清,http://125.92.103.146:8899/udp/239.77.0.169:5146
CCTV-3超清,http://125.92.103.146:8899/udp/239.77.0.175:5146
CCTV-4高清,http://125.92.103.146:8899/udp/239.77.1.163:5146
CCTV-4高清,http://125.92.103.146:8899/udp/239.77.1.166:5146
CCTV-4高清,http://125.92.103.146:8899/udp/239.77.0.78:5146
CCTV-5高清,http://125.92.103.146:8899/udp/239.77.0.170:5146
CCTV-5超清,http://125.92.103.146:8899/udp/239.77.0.177:5146
CCTV-5+高清,http://125.92.103.146:8899/udp/239.77.0.87:5146
CCTV-5+高清,http://125.92.103.146:8899/udp/239.77.1.31:5146
CCTV-5+高清,http://125.92.103.146:8899/udp/239.77.1.147:5146
CCTV-6高清,http://125.92.103.146:8899/udp/239.77.0.171:5146
CCTV-6超清,http://125.92.103.146:8899/udp/239.77.0.178:5146
CCTV-7高清,http://125.92.103.146:8899/udp/239.77.1.159:5146
CCTV-7高清,http://125.92.103.146:8899/udp/239.77.1.167:5146
来自广东电信(125.92.103.146:8899)的组播源共有332个频道：
CCTV-7高清测试,http://125.92.103.146:8899/udp/239.77.0.138:5146
CCTV-8高清,http://125.92.103.146:8899/udp/239.77.0.172:5146
CCTV-8超清,http://125.92.103.146:8899/udp/239.77.0.181:5146
CCTV-9高清,http://125.92.103.146:8899/udp/239.77.1.160:5146
CCTV-9高清,http://125.92.103.146:8899/udp/239.77.1.168:5146
CCTV-9高清测试,http://125.92.103.146:8899/udp/239.77.0.135:5146
CCTV-10高清,http://125.92.103.146:8899/udp/239.77.1.113:5146
CCTV-10高清,http://125.92.103.146:8899/udp/239.77.1.169:5146
CCTV-10高清测试,http://125.92.103.146:8899/udp/239.77.0.134:5146
CCTV-11高清,http://125.92.103.146:8899/udp/239.77.1.238:5146
CCTV-12高清,http://125.92.103.146:8899/udp/239.77.1.109:5146
CCTV-12高清,http://125.92.103.146:8899/udp/239.77.1.170:5146
CCTV-12高清测试,http://125.92.103.146:8899/udp/239.77.0.136:5146
CCTV-13高清,http://125.92.103.146:8899/udp/239.77.0.188:5146
CCTV-13高清,http://125.92.103.146:8899/udp/239.253.43.196:5146
CCTV-14高清,http://125.92.103.146:8899/udp/239.77.1.161:5146
